Designator,Val,Package,Mid X,Mid Y,Rotation,Layer
C1,1uF,C_0402_1005Metric,61.541308,-65.466736,135.0,bottom
C2,22pF,C_0402_1005Metric,73.279365,-59.397542,-90.0,bottom
C3,22pF,C_0402_1005Metric,68.7325,-60.497542,-90.0,bottom
C4,10uF,C_0402_1005Metric,65.478125,-54.65,180.0,bottom
C5,100nF,C_0402_1005Metric,59.950318,-67.736549,-135.0,bottom
C6,100nF,C_0402_1005Metric,61.569592,-64.080807,135.0,bottom
C7,100nF,C_0402_1005Metric,65.152856,-60.497543,135.0,bottom
C8,100nF,C_0402_1005Metric,71.005932,-70.363451,45.0,bottom
C9,100nF,C_0402_1005Metric,64.164674,-74.577807,-45.0,bottom
C10,100nF,C_0402_1005Metric,59.950318,-70.363451,135.0,bottom
C11,4.7nF,C_0402_1005Metric,56.33625,-42.255,-90.0,bottom
D1,D_Small,D_SOD-123,53.1,-51.65,90.0,bottom
D2,D_Small,D_SOD-123,76.9125,-51.65,90.0,bottom
D3,D_Small,D_SOD-123,95.9625,-51.65,90.0,bottom
D4,D_Small,D_SOD-123,115.0125,-51.65,90.0,bottom
D5,D_Small,D_SOD-123,134.0625,-51.65,90.0,bottom
D6,D_Small,D_SOD-123,153.1125,-51.65,90.0,bottom
D7,D_Small,D_SOD-123,172.1625,-51.65,90.0,bottom
D8,D_Small,D_SOD-123,191.2125,-51.65,90.0,bottom
D9,D_Small,D_SOD-123,210.2625,-51.65,90.0,bottom
D10,D_Small,D_SOD-123,229.3125,-51.65,90.0,bottom
D11,D_Small,D_SOD-123,248.3625,-51.65,90.0,bottom
D12,D_Small,D_SOD-123,272.175,-51.65,90.0,bottom
D13,D_Small,D_SOD-123,295.9875,-51.65,90.0,bottom
D14,D_Small,D_SOD-123,55.48125,-70.7,90.0,bottom
D15,D_Small,D_SOD-123,81.675,-70.7,90.0,bottom
D16,D_Small,D_SOD-123,100.725,-70.7,90.0,bottom
D17,D_Small,D_SOD-123,119.775,-70.7,90.0,bottom
D18,D_Small,D_SOD-123,138.825,-70.7,90.0,bottom
D19,D_Small,D_SOD-123,157.875,-70.7,90.0,bottom
D20,D_Small,D_SOD-123,176.925,-70.7,90.0,bottom
D21,D_Small,D_SOD-123,195.975,-70.7,90.0,bottom
D22,D_Small,D_SOD-123,215.025,-70.7,90.0,bottom
D23,D_Small,D_SOD-123,234.075,-70.7,90.0,bottom
D24,D_Small,D_SOD-123,253.125,-70.7,90.0,bottom
D25,D_Small,D_SOD-123,284.08125,-70.7,90.0,bottom
D26,D_Small,D_SOD-123,60.24375,-89.75,90.0,bottom
D27,D_Small,D_SOD-123,91.2,-89.75,90.0,bottom
D28,D_Small,D_SOD-123,110.25,-89.75,90.0,bottom
D29,D_Small,D_SOD-123,129.3,-89.75,90.0,bottom
D30,D_Small,D_SOD-123,148.35,-89.75,90.0,bottom
D31,D_Small,D_SOD-123,167.4,-89.75,90.0,bottom
D32,D_Small,D_SOD-123,186.45,-89.75,90.0,bottom
D33,D_Small,D_SOD-123,205.5,-89.75,90.0,bottom
D34,D_Small,D_SOD-123,224.55,-89.75,90.0,bottom
D35,D_Small,D_SOD-123,243.6,-89.75,90.0,bottom
D36,D_Small,D_SOD-123,262.65,-89.75,90.0,bottom
D37,D_Small,D_SOD-123,288.84375,-89.75,90.0,bottom
D38,D_Small,D_SOD-123,66.30875,-110.45,90.0,bottom
D39,D_Small,D_SOD-123,76.59445,-108.8,90.0,bottom
D40,D_Small,D_SOD-123,95.9625,-108.8,90.0,bottom
D41,D_Small,D_SOD-123,145.96875,-108.8,90.0,bottom
D42,D_Small,D_SOD-123,186.45,-108.8,90.0,bottom
D43,D_Small,D_SOD-123,223.83125,-108.8,90.0,bottom
D44,D_Small,D_SOD-123,253.125,-110.45,90.0,bottom
D45,D_Small,D_SOD-123,276.77,-108.8,90.0,bottom
F1,500mA,Fuse_1206_3216Metric,65.478125,-51.65,90.0,bottom
R1,22,R_0402_1005Metric,62.40625,-54.65,-90.0,bottom
R2,22,R_0402_1005Metric,61.40625,-54.65,-90.0,bottom
R3,10k,R_0402_1005Metric,66.402668,-74.938431,-135.0,bottom
R4,1k,R_0402_1005Metric,73.279365,-61.597543,-90.0,bottom
R5,10k,R_0402_1005Metric,65.145785,-61.904686,135.0,bottom
R6,5.1k,R_0402_1005Metric,56.33625,-44.255,90.0,bottom
R7,5.1k,R_0402_1005Metric,67.47625,-44.255,90.0,bottom
R8,1M,R_0402_1005Metric,67.47625,-42.255,-90.0,bottom
R9,1k,R_0402_1005Metric,50.0,-76.1,180.0,bottom
U1,32U4-MU,QFN-44-1EP_7x7mm_P0.5mm_EP5.2x5.2mm,65.478125,-69.05,-45.0,bottom
U2,SRV05-4,SOT-23-6-routable,61.90625,-51.65,0.0,bottom
USB1,HRO-M-12,USB_C_Receptacle_HRO_TYPE-C-31-M-12,61.90625,-42.34,0.0,bottom
Y1,16MHz,Crystal_SMD_3225-4Pin_3.2x2.5mm,71.005932,-60.497543,-90.0,bottom
